query_id,term,facet,intent,hub_slug,hub_url
Q001,printable wall art,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q002,digital wall art download,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q003,instant download wall decor,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q004,downloadable art print,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q005,print at home wall art,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q006,printable home decor,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q007,digital print wall decor,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q008,large printable wall art,core,format,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q009,gallery wall set,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q010,set of 2 printable wall art,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q011,set of 3 printable wall art,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q012,printable wall art triptych,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q013,curated print collection,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q014,statement wall decor set,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q015,eclectic gallery wall prints,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q016,mix and match gallery prints,gallery,collection,printable-art-formats-and-gallery-sets,https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/
Q017,living room printable wall art,room,room,printable-wall-art-by-room,https://slapglif.github.io/jtnprintable-site/printable-wall-art-by-room/
